Welcome Back!,மீண்டும் வரவேற்கிறோம்!
Styled droppable band that wraps other widgets. Toggle between wide (edge-to-edge) and boxed (theme container).,மற்ற விட்ஜெட்களை சுற்றும் வடிவமைக்கப்பட்ட விடக்கூடிய பட்டை. அகலம் (விளிம்பு-முதல்-விளிம்பு) மற்றும் பெட்டி (தீம் கொள்கலன்) இடையே மாற்றவும்.
A 50/50 image + copy promo block with optional CTA. The canonical promo moment widget.,விருப்ப CTA உடன் கூடிய 50/50 படம் + உரை விளம்பர தொகுதி. நியமமான விளம்பர தருண விட்ஜெட்.
A thin top-of-page bar with one or more rotating announcements.,ஒன்று அல்லது அதற்கு மேற்பட்ட சுழலும் அறிவிப்புகளுடன் கூடிய மெல்லிய பக்கம்-மேல் பட்டை.
A promo panel with a copyable discount code and CTA.,நகலெடுக்கக்கூடிய தள்ளுபடி குறியீடு மற்றும் CTA உடன் கூடிய விளம்பர பலகை.
Flexible content block mixing prose sections and accordion FAQ groups.,உரைநடை பிரிவுகள் மற்றும் அக்கார்டியன் FAQ குழுக்களை கலக்கும் நெகிழ்வான உள்ளடக்க தொகுதி.
"A row of value-prop items (free shipping, easy returns, etc.) for below-the-hero or above-the-footer reinforcement.","ஹீரோவுக்கு கீழே அல்லது அடிக்குறிப்புக்கு மேலே வலுப்படுத்துவதற்கான மதிப்பு-முன்மொழிவு உருப்படிகளின் வரிசை (இலவச கப்பல் போக்குவரத்து, எளிதான திருப்பிகள் போன்றவை)."
A list of products from a collection,ஒரு தொகுப்பிலிருந்து தயாரிப்புகளின் பட்டியல்
"Stacked rows of collections, each with a heading, view-all link, and a strip of products.","தொகுப்புகளின் அடுக்கப்பட்ட வரிசைகள், ஒவ்வொன்றும் ஒரு தலைப்பு, அனைத்தையும்-காண இணைப்பு மற்றும் தயாரிப்புகளின் பட்டையுடன்."
"A featured collection with cover image, editorial copy, and a small product preview grid.","அட்டை படம், தலையங்க உரை மற்றும் சிறிய தயாரிப்பு முன்னோட்ட கட்டத்துடன் கூடிய சிறப்பு தொகுப்பு."
"A single-product spotlight — image, name, price, and a link to the full product page.","ஒற்றை-தயாரிப்பு சிறப்பு வெளிச்சம் — படம், பெயர், விலை மற்றும் முழு தயாரிப்பு பக்கத்திற்கான இணைப்பு."
